venue,toss_decision,total_matches,wins,wins_pct
Sawai Mansingh Stadium,field,28,19,67.86
Maharashtra Cricket Association Stadium,field,20,13,65.0
Sharjah Cricket Stadium,field,20,13,65.0
Eden Gardens,field,49,31,63.27
"MA Chidambaram Stadium, Chepauk",bat,34,21,61.76
Dr DY Patil Sports Academy,field,10,6,60.0
Kingsmead,bat,10,6,60.0
Subrata Roy Sahara Stadium,bat,15,9,60.0
"Wankhede Stadium, Mumbai",field,37,22,59.46
"Narendra Modi Stadium, Ahmedabad",field,19,11,57.89
Sheikh Zayed Stadium,field,14,8,57.14
M Chinnaswamy Stadium,field,57,32,56.14
Feroz Shah Kotla,field,34,19,55.88
"Dr DY Patil Sports Academy, Mumbai",field,17,9,52.94
"Punjab Cricket Association Stadium, Mohali",field,21,11,52.38
Wankhede Stadium,field,51,26,50.98
"Brabourne Stadium, Mumbai",field,14,7,50.0
M.Chinnaswamy Stadium,field,14,7,50.0
Wankhede Stadium,bat,22,11,50.0
Sheikh Zayed Stadium,bat,15,7,46.67
Feroz Shah Kotla,bat,26,12,46.15
"Rajiv Gandhi International Stadium, Uppal",field,26,12,46.15
"MA Chidambaram Stadium, Chepauk, Chennai",field,16,7,43.75
Eden Gardens,bat,28,12,42.86
"Eden Gardens, Kolkata",field,14,6,42.86
"M Chinnaswamy Stadium, Bengaluru",field,14,6,42.86
"Arun Jaitley Stadium, Delhi",field,12,5,41.67
"MA Chidambaram Stadium, Chepauk, Chennai",bat,12,5,41.67
Dubai International Cricket Stadium,field,27,11,40.74
Dubai International Cricket Stadium,bat,19,7,36.84
"Punjab Cricket Association Stadium, Mohali",bat,14,5,35.71
Sawai Mansingh Stadium,bat,19,6,31.58
Rajiv Gandhi International Stadium,field,10,3,30.0
"MA Chidambaram Stadium, Chepauk",field,14,4,28.57
"Maharashtra Cricket Association Stadium, Pune",field,11,3,27.27
"Rajiv Gandhi International Stadium, Uppal",bat,23,5,21.74
