team,Home_matches,Home_wins,home_win_pct,Away_matches,Away_wins,away_win_pct
Lucknow Super Giants,22,16,72.73,21,8,38.1
Rising Pune Supergiant,7,5,71.43,9,5,55.56
Chennai Super Kings,128,75,58.59,109,63,57.8
Mumbai Indians,123,70,56.91,138,74,53.62
Delhi Capitals,41,23,56.1,50,25,50.0
Rajasthan Royals,101,55,54.46,118,57,48.31
Kolkata Knight Riders,121,65,53.72,130,66,50.77
Gujarat Titans,21,11,52.38,24,17,70.83
Sunrisers Hyderabad,86,44,51.16,96,44,45.83
Royal Challengers Bangalore,132,66,50.0,105,50,47.62
Kings XI Punjab,92,43,46.74,98,45,45.92
Delhi Daredevils,84,38,45.24,75,29,38.67
Royal Challengers Bengaluru,9,4,44.44,6,3,50.0
Kochi Tuskers Kerala,7,3,42.86,7,3,42.86
Punjab Kings,31,11,35.48,25,13,52.0
Deccan Chargers,39,13,33.33,36,16,44.44
Gujarat Lions,16,5,31.25,14,8,57.14
Rising Pune Supergiants,7,2,28.57,7,3,42.86
Pune Warriors,23,6,26.09,22,6,27.27
